,can_id,candidate,topic,value,state
360,19,James Lankford,1,5.0,Oklahoma
361,19,James Lankford,2,5.0,Oklahoma
362,19,James Lankford,3,5.0,Oklahoma
363,19,James Lankford,4,5.0,Oklahoma
364,19,James Lankford,5,5.0,Oklahoma
365,19,James Lankford,6,5.0,Oklahoma
366,19,James Lankford,7,5.0,Oklahoma
367,19,James Lankford,8,5.0,Oklahoma
368,19,James Lankford,9,-5.0,Oklahoma
369,19,James Lankford,10,5.0,Oklahoma
370,19,James Lankford,11,5.0,Oklahoma
371,19,James Lankford,12,5.0,Oklahoma
372,19,James Lankford,13,2.5,Oklahoma
373,19,James Lankford,14,5.0,Oklahoma
374,19,James Lankford,15,5.0,Oklahoma
375,19,James Lankford,16,-2.5,Oklahoma
376,19,James Lankford,17,5.0,Oklahoma
377,19,James Lankford,18,5.0,Oklahoma
378,19,James Lankford,19,0.0,Oklahoma
379,19,James Lankford,20,2.5,Oklahoma
380,20,Jason Kander,1,-5.0,Missouri
381,20,Jason Kander,2,-2.5,Missouri
382,20,Jason Kander,3,-5.0,Missouri
383,20,Jason Kander,4,0.0,Missouri
384,20,Jason Kander,5,-5.0,Missouri
385,20,Jason Kander,6,-2.5,Missouri
386,20,Jason Kander,7,5.0,Missouri
387,20,Jason Kander,8,-5.0,Missouri
388,20,Jason Kander,9,-2.5,Missouri
389,20,Jason Kander,10,-5.0,Missouri
390,20,Jason Kander,11,2.5,Missouri
391,20,Jason Kander,12,-2.5,Missouri
392,20,Jason Kander,13,-2.5,Missouri
393,20,Jason Kander,14,-2.5,Missouri
394,20,Jason Kander,15,2.5,Missouri
395,20,Jason Kander,16,-2.5,Missouri
396,20,Jason Kander,17,-2.5,Missouri
397,20,Jason Kander,18,-5.0,Missouri
398,20,Jason Kander,19,2.5,Missouri
399,20,Jason Kander,20,-2.5,Missouri
400,21,Jay Williams,1,-5.0,South Dakota
401,21,Jay Williams,2,-5.0,South Dakota
402,21,Jay Williams,3,0.0,South Dakota
403,21,Jay Williams,4,0.0,South Dakota
404,21,Jay Williams,5,-5.0,South Dakota
405,21,Jay Williams,6,2.5,South Dakota
406,21,Jay Williams,7,-5.0,South Dakota
407,21,Jay Williams,8,0.0,South Dakota
408,21,Jay Williams,9,-5.0,South Dakota
409,21,Jay Williams,10,-2.5,South Dakota
410,21,Jay Williams,11,-5.0,South Dakota
411,21,Jay Williams,12,-5.0,South Dakota
412,21,Jay Williams,13,0.0,South Dakota
413,21,Jay Williams,14,-5.0,South Dakota
414,21,Jay Williams,15,0.0,South Dakota
415,21,Jay Williams,16,-2.5,South Dakota
416,21,Jay Williams,17,-2.5,South Dakota
417,21,Jay Williams,18,-5.0,South Dakota
418,21,Jay Williams,19,-2.5,South Dakota
419,21,Jay Williams,20,0.0,South Dakota
420,22,Jerry Moran,1,5.0,Kansas
421,22,Jerry Moran,2,-2.5,Kansas
422,22,Jerry Moran,3,5.0,Kansas
423,22,Jerry Moran,4,5.0,Kansas
424,22,Jerry Moran,5,2.5,Kansas
425,22,Jerry Moran,6,5.0,Kansas
426,22,Jerry Moran,7,2.5,Kansas
427,22,Jerry Moran,8,2.5,Kansas
428,22,Jerry Moran,9,2.5,Kansas
429,22,Jerry Moran,10,5.0,Kansas
430,22,Jerry Moran,11,5.0,Kansas
431,22,Jerry Moran,12,2.5,Kansas
432,22,Jerry Moran,13,5.0,Kansas
433,22,Jerry Moran,14,5.0,Kansas
434,22,Jerry Moran,15,2.5,Kansas
