idx,can_id,candidate,topic,value
645,33,John Kennedy,6,-2.5
646,33,John Kennedy,7,-2.5
647,33,John Kennedy,8,-5
648,33,John Kennedy,9,5
649,33,John Kennedy,10,5
650,33,John Kennedy,11,-2.5
651,33,John Kennedy,12,5
652,33,John Kennedy,13,-5
653,33,John Kennedy,14,5
654,33,John Kennedy,15,5
655,33,John Kennedy,16,-2.5
656,33,John Kennedy,17,-2.5
657,33,John Kennedy,18,2.5
658,33,John Kennedy,19,0
659,33,John Kennedy,20,2.5
660,34,John Thune,1,5
661,34,John Thune,2,5
662,34,John Thune,3,5
663,34,John Thune,4,5
664,34,John Thune,5,2.5
665,34,John Thune,6,2.5
666,34,John Thune,7,2.5
667,34,John Thune,8,2.5
668,34,John Thune,9,2.5
669,34,John Thune,10,5
670,34,John Thune,11,5
671,34,John Thune,12,5
672,34,John Thune,13,5
673,34,John Thune,14,5
674,34,John Thune,15,2.5
675,34,John Thune,16,-2.5
676,34,John Thune,17,5
677,34,John Thune,18,5
678,34,John Thune,19,5
679,34,John Thune,20,5
680,35,Johnny Isakson,1,5
681,35,Johnny Isakson,2,0
682,35,Johnny Isakson,3,5
683,35,Johnny Isakson,4,5
684,35,Johnny Isakson,5,2.5
685,35,Johnny Isakson,6,5
686,35,Johnny Isakson,7,5
687,35,Johnny Isakson,8,2.5
688,35,Johnny Isakson,9,5
689,35,Johnny Isakson,10,5
690,35,Johnny Isakson,11,5
691,35,Johnny Isakson,12,5
692,35,Johnny Isakson,13,5
693,35,Johnny Isakson,14,5
694,35,Johnny Isakson,15,2.5
695,35,Johnny Isakson,16,0
696,35,Johnny Isakson,17,5
697,35,Johnny Isakson,18,5
698,35,Johnny Isakson,19,2.5
699,35,Johnny Isakson,20,2.5
700,36,Joseph Cao,1,2.5
701,36,Joseph Cao,2,0
702,36,Joseph Cao,3,-2.5
703,36,Joseph Cao,4,0
704,36,Joseph Cao,5,-2.5
705,36,Joseph Cao,6,0
706,36,Joseph Cao,7,-2.5
707,36,Joseph Cao,8,-2.5
708,36,Joseph Cao,9,2.5
709,36,Joseph Cao,10,-2.5
710,36,Joseph Cao,11,0
711,36,Joseph Cao,12,-5
712,36,Joseph Cao,13,0
713,36,Joseph Cao,14,0
714,36,Joseph Cao,15,0
715,36,Joseph Cao,16,-2.5
716,36,Joseph Cao,17,2.5
717,36,Joseph Cao,18,0
718,36,Joseph Cao,19,0
719,36,Joseph Cao,20,-5
720,37,Kamala Harris,1,-5
721,37,Kamala Harris,2,-2.5
722,37,Kamala Harris,3,-5
723,37,Kamala Harris,4,0
724,37,Kamala Harris,5,-2.5
725,37,Kamala Harris,6,0
726,37,Kamala Harris,7,0
727,37,Kamala Harris,8,-2.5
728,37,Kamala Harris,9,2.5
729,37,Kamala Harris,10,-5
730,37,Kamala Harris,11,0
731,37,Kamala Harris,12,-5
732,37,Kamala Harris,13,0
733,37,Kamala Harris,14,-5
734,37,Kamala Harris,15,0
735,37,Kamala Harris,16,0
736,37,Kamala Harris,17,-2.5
737,37,Kamala Harris,18,-5
738,37,Kamala Harris,19,-2.5
739,37,Kamala Harris,20,-5
740,38,Kathy Szeliga,1,5
741,38,Kathy Szeliga,2,-5
742,38,Kathy Szeliga,3,5
743,38,Kathy Szeliga,4,0
744,38,Kathy Szeliga,5,5
745,38,Kathy Szeliga,6,2.5
746,38,Kathy Szeliga,7,2.5
747,38,Kathy Szeliga,8,5
748,38,Kathy Szeliga,9,5
749,38,Kathy Szeliga,10,5
750,38,Kathy Szeliga,11,5
751,38,Kathy Szeliga,12,5
752,38,Kathy Szeliga,13,5
753,38,Kathy Szeliga,14,5
754,38,Kathy Szeliga,15,2.5
755,38,Kathy Szeliga,16,-5
756,38,Kathy Szeliga,17,0
757,38,Kathy Szeliga,18,2.5
758,38,Kathy Szeliga,19,5
759,38,Kathy Szeliga,20,-2.5
760,39,Katie McGinty,1,-5
761,39,Katie McGinty,2,-5
762,39,Katie McGinty,3,-5
763,39,Katie McGinty,4,0
764,39,Katie McGinty,5,-5
765,39,Katie McGinty,6,-5
766,39,Katie McGinty,7,-5
767,39,Katie McGinty,8,-5
768,39,Katie McGinty,9,-2.5
769,39,Katie McGinty,10,2.5
770,39,Katie McGinty,11,-5
771,39,Katie McGinty,12,-2.5
772,39,Katie McGinty,13,-2.5
773,39,Katie McGinty,14,-2.5
774,39,Katie McGinty,15,5
775,39,Katie McGinty,16,-5
776,39,Katie McGinty,17,-5
777,39,Katie McGinty,18,-2.5
778,39,Katie McGinty,19,-2.5
779,39,Katie McGinty,20,-2.5
780,40,Kelly Ayotte,1,5
781,40,Kelly Ayotte,2,-5
782,40,Kelly Ayotte,3,5
783,40,Kelly Ayotte,4,0
784,40,Kelly Ayotte,5,5
785,40,Kelly Ayotte,6,5
786,40,Kelly Ayotte,7,5
787,40,Kelly Ayotte,8,2.5
788,40,Kelly Ayotte,9,5
789,40,Kelly Ayotte,10,5
790,40,Kelly Ayotte,11,5
