idx,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,party_full,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation
218,Patty Murray,Patty_Murray,2016,http://www.ontheissues.org/Senate/Patty_Murray.htm,1765333,1,0.591,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-5,-5,5,-5,2.5,-2.5,-2.5,-5,-5,-5,1,-35,-40,D,Democrat,19.20445338,2.479823214,2,WA,Washington,0.5716,-0.0194,1,1,1,1.331469883,0.865495925,1.538389545
222,Phil Anderson,Phil_Anderson,2016,http://www.ontheissues.org/Senate/Phil_Anderson.htm,87392,0,0.03,-5,5,-5,-5,5,5,5,5,-5,2.5,5,-5,5,-2.5,-5,-5,-5,-2.5,-5,5,0,-40,32.5,L,Libertarian,1.109248946,13.59020247,6,WI,Wisconsin,0.028,-0.002,0,1,0,,1.033710509,
224,Rand Paul,Rand_Paul,2016,http://www.ontheissues.org/Senate/Rand_Paul.htm,1090151,1,0.573,5,2.5,2.5,-2.5,5,2.5,5,5,-5,5,5,-2.5,5,-2.5,-2.5,-2.5,-5,5,-5,2.5,1,-12.5,35,R,Republican,-6.83491536,14.45008387,6,KY,Kentucky,0.5822,0.0092,1,1,0,1.023649346,1.352869577,0.756650429
227,Ray Metcalfe,Ray_Metcalfe,2016,http://www.ontheissues.org/Senate/Ray_Metcalfe.htm,28026,0,0.111,-5,-5,0,0,-5,0,-2.5,-5,0,5,-5,0,-5,0,0,-2.5,0,-5,-5,0,0,-17.5,-22.5,D,Democrat,9.579660899,1.870021762,1,AK,Alaska,0.4088,0.2978,0,1,0,0.541813054,8.527248203,0.063539027
229,Richard Blumenthal,Richard_Blumenthal,2016,http://www.ontheissues.org/Senate/Richard_Blumenthal.htm,986291,1,0.629,-5,-5,-2.5,-2.5,-5,-5,-2.5,-5,2.5,-5,-5,-2.5,-2.5,-5,5,-5,-2.5,-5,0,-5,1,-17.5,-45,D,Democrat,16.66613934,-2.190056679,7,CT,Connecticut,0.5958,-0.0332,1,1,0,0.726833945,1.730543147,0.420003365
231,Richard Burr,Richard_Burr,2016,http://www.ontheissues.org/Senate/Richard_Burr.htm,2371192,1,0.511,5,0,5,5,5,5,2.5,2.5,2.5,5,5,2.5,2.5,5,5,2.5,5,5,5,5,1,40,40,R,Republican,-16.64694278,-2.073899763,0,NC,North Carolina,0.6095,0.0985,1,1,0,1.089718728,0.605713819,1.799065325
236,Richard Shelby,Richard_Shelby,2016,http://www.ontheissues.org/Senate/Richard_Shelby.htm,1323184,1,0.642,5,5,5,2.5,2.5,2.5,5,-2.5,2.5,5,5,5,-2.5,5,5,2.5,5,5,5,2.5,1,35,35,R,Republican,-14.81558705,-2.361126973,0,AL,Alabama,0.5556,-0.0864,1,1,0,1.148221872,1.230890614,0.932838271
240,Rob Maness,Rob_Maness,2016,http://www.ontheissues.org/Senate/Rob_Maness.htm,90812,0,0.047,5,2.5,5,2.5,5,0,5,2.5,2.5,5,2.5,5,2.5,5,5,2.5,2.5,5,5,5,0,37.5,37.5,R,Republican,-15.48184247,-1.060546741,0,LA,Louisiana,0.138,0.091,0,1,1,,1.311134486,
242,Rob Portman,Rob_Portman,2016,http://www.ontheissues.org/Senate/Rob_Portman.htm,3048467,1,0.583,5,2.5,0,5,5,2.5,5,-2.5,5,5,5,-2.5,5,5,5,2.5,5,5,2.5,2.5,1,25,42.5,R,Republican,-13.26564463,-3.201123622,0,OH,Ohio,0.5617,-0.0213,1,1,1,1.391902962,0.507358782,2.743429328
244,Robert Marquette,Robert_Marquette,2016,http://www.ontheissues.org/Senate/Robert_Marquette.htm,10521,0,0.031,-5,0,-5,0,2.5,5,0,-5,-5,5,5,-2.5,-2.5,-2.5,-5,-2.5,-5,5,-5,5,0,-40,22.5,L,Libertarian,2.401645284,10.95702473,6,ND,North Dakota,0.0158,-0.0152,0,1,0,,7.845377424,
250,Ron Crumpton,Ron_Crumpton,2016,http://www.ontheissues.org/Senate/Ron_Crumpton.htm,737542,0,0.358,-2.5,-5,-5,-5,-5,-5,-5,-5,-5,5,-2.5,-5,-5,2.5,-2.5,-5,0,-5,-5,-5,0,-40,-30,D,Democrat,15.43355638,3.077832321,2,AL,Alabama,0.4076,0.0496,0,1,0,1.148221872,1.230890614,0.932838271
