,full_name,first_name,last_name,party,state,url,year,next_senate_year,reelection_year
184,John_Cornyn,John,Cornyn,R,TX,http://www.ontheissues.org/Senate/John_Cornyn.htm,2014,2016,2020
185,Ted_Cruz,Ted,Cruz,R,TX,http://www.ontheissues.org/Senate/Ted_Cruz.htm,2014,2016,2020
186,Orrin_Hatch,Orrin,Hatch,R,UT,http://www.ontheissues.org/Senate/Orrin_Hatch.htm,2014,2016,2020
187,Mike_Lee,Mike,Lee,R,UT,http://www.ontheissues.org/Senate/Mike_Lee.htm,2014,2016,2020
188,Patrick_Leahy,Patrick,Leahy,D,VT,http://www.ontheissues.org/Senate/Patrick_Leahy.htm,2014,2016,2020
189,Bernie_Sanders,Bernie,Sanders,I,VT,http://www.ontheissues.org/Senate/Bernie_Sanders.htm,2014,2016,2020
190,Mark_Warner,Mark,Warner,D,VA,http://www.ontheissues.org/Senate/Mark_Warner.htm,2014,2016,2020
191,Tim_Kaine,Tim,Kaine,D,VA,http://www.ontheissues.org/Senate/Tim_Kaine.htm,2014,2016,2020
192,Patty_Murray,Patty,Murray,D,WA,http://www.ontheissues.org/Senate/Patty_Murray.htm,2014,2016,2020
193,Maria_Cantwell,Maria,Cantwell,D,WA,http://www.ontheissues.org/Senate/Maria_Cantwell.htm,2014,2016,2020
194,Joe_Manchin_III,Joe,Manchin,D,WV,http://www.ontheissues.org/Senate/Joe_Manchin_III.htm,2014,2016,2020
195,Shelley_Moore_Capito,Shelley,Moore Capito,R,WV,http://www.ontheissues.org/Senate/Shelley_Moore_Capito.htm,2014,2016,2020
196,Ron_Johnson,Ron,Johnson,O,WI,http://www.ontheissues.org/Senate/Ron_Johnson.htm,2014,2016,2020
197,Tammy_Baldwin,Tammy,Baldwin,D,WI,http://www.ontheissues.org/Senate/Tammy_Baldwin.htm,2014,2016,2020
198,Michael_Enzi,Michael,Enzi,R,WY,http://www.ontheissues.org/Senate/Michael_Enzi.htm,2014,2016,2020
199,John_Barrasso,John,Barrasso,R,WY,http://www.ontheissues.org/Senate/John_Barrasso.htm,2014,2016,2020
200,Richard_Shelby,Richard,Shelby,R,AL,http://www.ontheissues.org/Senate/Richard_Shelby.htm,2012,2014,2018
201,Jeff_Sessions,Jeff,Sessions,R,AL,http://www.ontheissues.org/Senate/Jeff_Sessions.htm,2012,2014,2018
202,Lisa_Murkowski,Lisa,Murkowski,I,AK,http://www.ontheissues.org/Senate/Lisa_Murkowski.htm,2012,2014,2018
