,state_abbr,year,candidate,party,votes_total
441,SC,2014,Lindsey Graham,GOP,665605
442,SC,2014,Brad Hutto,DEM,475532
443,SC,2014,Thomas Ravenel,PEC,47205
444,SC,2014,Victor Kocher,LIB,33481
445,SD,2014,Mike Rounds,GOP,140721
446,SD,2014,Rick Weiland,DEM,82408
447,SD,2014,Larry Pressler,IND,47728
448,SD,2014,Gordon Howie,IND,8469
449,TN,2014,Lamar Alexander,GOP,849748
450,TN,2014,Gordon Ball,DEM,437175
451,TN,2014,Joe Wilmoth,CST,36056
452,TN,2014,Martin Pleasant,GRN,12530
453,TN,2014,Tom Emerson,IND,11146
454,TN,2014,Danny Page,IND,7711
455,TN,2014,Rick Tyler,IND,5751
456,TN,2014,Joshua James,IND,5671
457,TN,2014,Bartholomew Phillips,IND,2380
458,TN,2014,Edmund Gauthier,IND,2308
459,TN,2014,Eric Schechter,IND,1668
460,TN,2014,C. Salekin,IND,784
461,TX,2014,John Cornyn,GOP,2855068
462,TX,2014,David Alameel,DEM,1594252
463,TX,2014,Rebecca Paddock,LIB,133467
464,TX,2014,Emily Sanchez,GRN,54587
465,VA,2014,Mark Warner,DEM,1071283
466,VA,2014,Ed Gillespie,GOP,1054556
467,VA,2014,Robert Sarvis,LIB,53396
468,WV,2014,Shelley Capito,GOP,280123
469,WV,2014,Natalie Tennant,DEM,155456
470,WV,2014,John Buckley,LIB,7360
471,WV,2014,Bob Baber,MNT,5448
472,WV,2014,Phil Hudok,CST,2544
473,WY,2014,Michael Enzi,GOP,119534
474,WY,2014,Charlie Hardy,DEM,29043
475,WY,2014,Curt Gottshall,IND,13175
476,WY,2014,Joseph Porambo,LIB,3602
477,AL,2016,Richard Shelby,GOP,1323184
478,AL,2016,Ron Crumpton,DEM,737542
479,AK,2016,Lisa Murkowski,GOP,111382
480,AK,2016,Joe Miller,LIB,74245
481,AK,2016,Margaret Stock,NPA,34579
482,AK,2016,Ray Metcalfe,DEM,28026
483,AK,2016,Breck Craig,NPA,2027
484,AK,2016,Ted Gianoutsos,NPA,1385
485,AZ,2016,John McCain,GOP,1089324
486,AZ,2016,Ann Kirkpatrick,DEM,839542
487,AZ,2016,Gary Swing,GRN,112151
488,AR,2016,John Boozman,GOP,657856
489,AR,2016,Conner Eldridge,DEM,397970
490,AR,2016,Frank Gilbert,LIB,43720
491,CA,2016,Kamala Harris,DEM,6495907
492,CA,2016,Loretta Sanchez,DEM,3918486
493,CO,2016,Michael Bennet,DEM,1246357
494,CO,2016,Darryl Glenn,GOP,1149326
495,CO,2016,Lily Williams,LIB,88492
496,CO,2016,Arn Menconi,GRN,31679
497,CO,2016,Bill Hammons,UTY,8408
498,CO,2016,Dan Chapin,UNA,7471
499,CO,2016,Paul Fiorino,UNA,2738
500,CT,2016,Richard Blumenthal,DEM,986291
501,CT,2016,Dan Carter,GOP,546489
502,CT,2016,Richard Lion,LIB,17907
503,CT,2016,Jeffery Russell,GRN,16437
