,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
61,Martin_Heinrich,Martin,Heinrich,R,NM,http://www.ontheissues.org/Senate/Martin_Heinrich.htm,-5,-5,-5,-2,-5,-5,-5,-5,0,2,-5,-2,-5,0,0,-5,3,-5,0,-5,-21,-38
62,Charles_Schumer,Charles,Schumer,D,NY,http://www.ontheissues.org/Senate/Charles_Schumer.htm,-5,-5,-5,-2,-5,-5,-5,-2,3,-5,-5,-5,-3,-5,3,-5,3,-5,3,-5,-12,-48
63,Kirsten_Gillibrand,Kirsten,Gillibrand,D,NY,http://www.ontheissues.org/Senate/Kirsten_Gillibrand.htm,-5,-5,-5,-2,-5,-5,-3,-5,-2,-3,-3,-5,-3,-5,0,-5,-2,-5,0,-5,-31,-42
64,Richard_Burr,Richard,Burr,R,NC,http://www.ontheissues.org/Senate/Richard_Burr.htm,5,0,5,5,5,5,2,3,3,5,5,3,2,5,5,3,5,5,5,5,42,39
65,Thom_Tillis,Thom,Tillis,R,NC,http://www.ontheissues.org/Senate/Thom_Tillis.htm,5,2,5,5,5,2,2,5,5,5,5,5,0,0,5,5,3,5,0,5,43,31
66,John_Hoeven,John,Hoeven,R,ND,http://www.ontheissues.org/Senate/John_Hoeven.htm,5,-3,5,5,5,2,-3,3,3,5,2,3,2,5,0,-2,3,2,3,-3,28,14
67,Heidi_Heitkamp,Heidi,Heitkamp,D,ND,http://www.ontheissues.org/Senate/Heidi_Heitkamp.htm,3,-5,-2,0,-5,-5,2,3,3,5,-5,0,0,0,0,-2,-2,5,3,2,6,-6
68,Sherrod_Brown,Sherrod,Brown,D,OH,http://www.ontheissues.org/Senate/Sherrod_Brown.htm,-5,-5,-5,-2,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-2,-2,-2,-5,-5,-5,-35,-50
69,Rob_Portman,Rob,Portman,R,OH,http://www.ontheissues.org/Senate/Rob_Portman.htm,5,2,0,5,5,2,5,-2,5,5,5,-2,5,5,5,3,5,5,3,2,27,41
70,James_Inhofe,James,Inhofe,R,OK,http://www.ontheissues.org/Senate/James_Inhofe.htm,5,5,5,5,5,5,5,3,5,5,5,5,2,5,5,3,5,5,5,5,46,47
71,James_Lankford,James,Lankford,R,OK,http://www.ontheissues.org/Senate/James_Lankford.htm,5,5,5,5,5,5,5,5,-5,5,5,5,2,5,5,-2,5,5,0,2,28,44
72,Ron_Wyden,Ron,Wyden,D,OR,http://www.ontheissues.org/Senate/Ron_Wyden.htm,-5,-5,-5,-5,-3,-5,-5,-2,3,-5,-5,-2,2,-5,-2,-5,-2,-5,-2,-3,-27,-39
